item,report_date,pettah_wholesale_today,narahenpita_retail_today,import
Egg,7/4/2025,31,34,
Katta (Imp),7/4/2025,1600,2800,
Sprat (Imp),7/4/2025,850,,
Banana (Sour),7/4/2025,100,160,
Papaw,7/4/2025,140,220,
Pineapple,7/4/2025,,400,
Apple (Imp),7/4/2025,,250,
Orange (Imp),7/4/2025,,260,
Samba,7/4/2025,238,240,
Nadu,7/4/2025,225,230,no
Kekulu (White),7/4/2025,205,220,
Kekulu (Red),7/4/2025,205,220,
Ponni Samba (Imp),7/4/2025,230,,
Nadu,7/4/2025,230,220,no
Kekulu (White) (Imp),7/4/2025,213,210,
Kelawalla,7/4/2025,1400,2380,
Thalapath,7/4/2025,2000,2700,
Balaya,7/4/2025,1000,1180,
Paraw,7/4/2025,1300,1600,
Salaya,7/4/2025,600,660,
Hurulla,7/4/2025,1200,,
Linna,7/4/2025,650,840,
Beans,7/3/2025,500,680,
Carrot,7/3/2025,300,400,
Cabbage,7/3/2025,200,360,
Tomato,7/3/2025,120,240,
Brinjal,7/3/2025,350,560,
Pumpkin,7/3/2025,130,200,
Snake gourd,7/3/2025,150,360,
Green Chilli,7/3/2025,450,800,
Lime,7/3/2025,200,600,
Red Onion (Local),7/3/2025,375,,
Red Onion (lmp),7/3/2025,358,520,
Big Onion (Local),7/3/2025,,,
Big Onion (Imp),7/3/2025,103,150,
Potato (Local),7/3/2025,290,380,
Potato (Imp),7/3/2025,155,220,
Dried Chilli (Imp),7/3/2025,600,760,
Coconut,7/3/2025,135,180,
Coconut oil,7/3/2025,820,866,
Red Dhal,7/3/2025,248,280,
Sugar,7/3/2025,215,230,
Egg,7/3/2025,31,34,
Katta (Imp),7/3/2025,1600,2800,
Sprat (Imp),7/3/2025,850,,
Banana (Sour),7/3/2025,100,160,
Papaw,7/3/2025,120,220,
Pineapple,7/3/2025,,390,
Apple (Imp),7/3/2025,,250,
Orange (Imp),7/3/2025,,260,
Samba,7/3/2025,238,240,
Nadu,7/3/2025,225,230,no
Kekulu (White),7/3/2025,205,220,
Kekulu (Red),7/3/2025,205,220,
Ponni Samba (Imp),7/3/2025,230,,
Nadu,7/3/2025,230,220,no
Kekulu (White) (Imp),7/3/2025,213,210,
Kelawalla,7/3/2025,1450,2520,
Thalapath,7/3/2025,2200,2700,
Balaya,7/3/2025,1000,1260,
Paraw,7/3/2025,1400,1740,
Salaya,7/3/2025,600,680,
Hurulla,7/3/2025,1000,,
Linna,7/3/2025,750,940,
Beans,7/2/2025,450,660,
Carrot,7/2/2025,250,400,
Cabbage,7/2/2025,200,360,
Tomato,7/2/2025,120,240,
Brinjal,7/2/2025,400,560,
Pumpkin,7/2/2025,130,220,
Snake gourd,7/2/2025,150,360,
Green Chilli,7/2/2025,500,800,
Lime,7/2/2025,200,600,
Red Onion (Local),7/2/2025,368,,
Red Onion (lmp),7/2/2025,368,520,
Big Onion (Local),7/2/2025,,,
Big Onion (Imp),7/2/2025,103,150,
Potato (Local),7/2/2025,277,380,
Potato (Imp),7/2/2025,159,220,
Dried Chilli (Imp),7/2/2025,600,760,
Coconut,7/2/2025,140,180,
Coconut oil,7/2/2025,820,866,
Red Dhal,7/2/2025,245,280,
Sugar,7/2/2025,215,230,
Egg,7/2/2025,28,34,
Katta (Imp),7/2/2025,1600,2800,
Sprat (Imp),7/2/2025,850,,
Banana (Sour),7/2/2025,100,160,
Papaw,7/2/2025,80,220,
Pineapple,7/2/2025,,390,
Apple (Imp),7/2/2025,,250,
Orange (Imp),7/2/2025,,260,
Samba,7/2/2025,238,240,
Nadu,7/2/2025,228,230,no
Kekulu (White),7/2/2025,210,220,
Kekulu (Red),7/2/2025,210,220,
Ponni Samba (Imp),7/2/2025,230,,
Nadu,7/2/2025,230,220,no
Kekulu (White) (Imp),7/2/2025,213,210,
Kelawalla,7/2/2025,1400,2520,
Thalapath,7/2/2025,2200,,
Balaya,7/2/2025,1000,1280,
Paraw,7/2/2025,1400,1740,
Salaya,7/2/2025,600,680,
Hurulla,7/2/2025,1200,,
Linna,7/2/2025,750,940,
Beans,7/1/2025,450,660,
Carrot,7/1/2025,200,400,
Cabbage,7/1/2025,200,360,
Tomato,7/1/2025,120,240,
Brinjal,7/1/2025,350,600,
Pumpkin,7/1/2025,130,200,
Snake gourd,7/1/2025,150,360,
Green Chilli,7/1/2025,500,800,
Lime,7/1/2025,200,600,
Red Onion (Local),7/1/2025,375,,
Red Onion (lmp),7/1/2025,350,520,
Big Onion (Local),7/1/2025,,,
Big Onion (Imp),7/1/2025,104,150,
Potato (Local),7/1/2025,303,380,
Potato (Imp),7/1/2025,158,220,
Dried Chilli (Imp),7/1/2025,625,760,
Coconut,7/1/2025,140,180,
Coconut oil,7/1/2025,820,866,
Red Dhal,7/1/2025,250,280,
Sugar,7/1/2025,215,230,
Egg,7/1/2025,31,34,
Katta (Imp),7/1/2025,1600,2800,
Sprat (Imp),7/1/2025,850,,
Banana (Sour),7/1/2025,100,160,
Papaw,7/1/2025,80,220,
Pineapple,7/1/2025,,390,
Apple (Imp),7/1/2025,,250,
