item,report_date,pettah_wholesale_today,narahenpita_retail_today,import
Red Onion (Local),4/1/2025,195,,
Red Onion (lmp),4/1/2025,274,520,
Big Onion (Local),4/1/2025,,,
Big Onion (Imp),4/1/2025,121,180,
Potato (Local),4/1/2025,290,400,
Potato (Imp),4/1/2025,154,200,
Dried Chilli (Imp),4/1/2025,575,800,
Coconut,4/1/2025,170,230,
Coconut oil,4/1/2025,767,861,
Red Dhal,4/1/2025,260,300,
Sugar,4/1/2025,218,240,
Egg,4/1/2025,33,35,
Katta (Imp),4/1/2025,1550,2400,
Sprat (Imp),4/1/2025,850,1200,
Banana (Sour),4/1/2025,100,220,
Papaw,4/1/2025,140,240,
Pineapple,4/1/2025,,450,
Apple (Imp),4/1/2025,,250,
Orange (Imp),4/1/2025,,250,
Samba,4/1/2025,235,240,
Nadu,4/1/2025,225,230,no
Kekulu (White),4/1/2025,215,210,
Kekulu (Red),4/1/2025,215,220,
Ponni Samba (Imp),4/1/2025,225,230,
Nadu,4/1/2025,213,220,no
Kekulu (White) (Imp),4/1/2025,208,,
Kelawalla,4/1/2025,1200,2100,
Thalapath,4/1/2025,1500,1960,
Balaya,4/1/2025,850,990,
Paraw,4/1/2025,1000,,
Salaya,4/1/2025,320,480,
Hurulla,4/1/2025,900,,
Linna,4/1/2025,650,820,
Beans,3/28/2025,450,800,
Carrot,3/28/2025,550,800,
Cabbage,3/28/2025,250,360,
Tomato,3/28/2025,200,360,
Brinjal,3/28/2025,300,600,
Pumpkin,3/28/2025,130,200,
Snake gourd,3/28/2025,300,480,
Green Chilli,3/28/2025,500,800,
Lime,3/28/2025,100,400,
Red Onion (Local),3/28/2025,150,,
Red Onion (lmp),3/28/2025,260,520,
Big Onion (Local),3/28/2025,,,
Big Onion (Imp),3/28/2025,101,180,
Potato (Local),3/28/2025,270,400,
Potato (Imp),3/28/2025,140,200,
Dried Chilli (Imp),3/28/2025,575,800,
Coconut,3/28/2025,160,230,
Coconut oil,3/28/2025,767,861,
Red Dhal,3/28/2025,260,300,
Sugar,3/28/2025,216,240,
Egg,3/28/2025,23,28,
Katta (Imp),3/28/2025,1550,2400,
Sprat (Imp),3/28/2025,850,1200,
Banana (Sour),3/28/2025,100,220,
Papaw,3/28/2025,140,240,
Pineapple,3/28/2025,,450,
Apple (Imp),3/28/2025,,250,
Orange (Imp),3/28/2025,,250,
Samba,3/28/2025,235,240,
Nadu,3/28/2025,225,230,no
Kekulu (White),3/28/2025,215,210,
Kekulu (Red),3/28/2025,215,220,
Ponni Samba (Imp),3/28/2025,225,230,
Nadu,3/28/2025,213,220,no
Kekulu (White) (Imp),3/28/2025,208,,
Kelawalla,3/28/2025,1100,2100,
Thalapath,3/28/2025,1500,1960,
Balaya,3/28/2025,700,1180,
Paraw,3/28/2025,1000,1420,
Salaya,3/28/2025,300,460,
Hurulla,3/28/2025,850,1080,
Linna,3/28/2025,750,,
Beans,3/27/2025,400,600,
Carrot,3/27/2025,600,800,
Cabbage,3/27/2025,280,400,
Tomato,3/27/2025,200,360,
Brinjal,3/27/2025,300,600,
Pumpkin,3/27/2025,130,200,
Snake gourd,3/27/2025,320,480,
Green Chilli,3/27/2025,500,800,
Lime,3/27/2025,120,400,
Red Onion (Local),3/27/2025,150,,
Red Onion (lmp),3/27/2025,260,520,
Big Onion (Local),3/27/2025,,,
Big Onion (Imp),3/27/2025,100,180,
Potato (Local),3/27/2025,265,400,
Potato (Imp),3/27/2025,136,200,
Dried Chilli (Imp),3/27/2025,600,800,
Coconut,3/27/2025,160,230,
Coconut oil,3/27/2025,767,861,
Red Dhal,3/27/2025,260,300,
Sugar,3/27/2025,218,240,
Egg,3/27/2025,23,28,
Katta (Imp),3/27/2025,1550,2400,
Sprat (Imp),3/27/2025,850,1200,
Banana (Sour),3/27/2025,100,220,
Papaw,3/27/2025,140,240,
Pineapple,3/27/2025,,450,
Apple (Imp),3/27/2025,,250,
Orange (Imp),3/27/2025,,250,
Samba,3/27/2025,235,240,
Nadu,3/27/2025,225,230,no
Kekulu (White),3/27/2025,215,210,
Kekulu (Red),3/27/2025,215,220,
Ponni Samba (Imp),3/27/2025,225,230,
Nadu,3/27/2025,213,220,no
Kekulu (White) (Imp),3/27/2025,208,,
Kelawalla,3/27/2025,1200,2100,
Thalapath,3/27/2025,1500,1960,
Balaya,3/27/2025,900,1180,
Paraw,3/27/2025,1100,1500,
Salaya,3/27/2025,300,460,
Hurulla,3/27/2025,800,1120,
Linna,3/27/2025,650,820,
Beans,3/26/2025,500,600,
Carrot,3/26/2025,600,800,
Cabbage,3/26/2025,250,400,
Tomato,3/26/2025,200,360,
Brinjal,3/26/2025,300,600,
Pumpkin,3/26/2025,130,200,
Snake gourd,3/26/2025,350,480,
Green Chilli,3/26/2025,450,800,
Lime,3/26/2025,120,400,
Red Onion (Local),3/26/2025,150,,
Red Onion (lmp),3/26/2025,263,520,
Big Onion (Local),3/26/2025,,,
Big Onion (Imp),3/26/2025,98,180,
Potato (Local),3/26/2025,260,400,
Potato (Imp),3/26/2025,132,200,
Dried Chilli (Imp),3/26/2025,600,800,
Coconut,3/26/2025,160,230,
Coconut oil,3/26/2025,767,861,
Red Dhal,3/26/2025,260,300,
Sugar,3/26/2025,218,240,
Egg,3/26/2025,25,28,
Katta (Imp),3/26/2025,1550,2400,
Sprat (Imp),3/26/2025,850,1200,
Banana (Sour),3/26/2025,100,220,
Papaw,3/26/2025,120,240,
Pineapple,3/26/2025,,450,
Apple (Imp),3/26/2025,,250,
Orange (Imp),3/26/2025,,250,
Samba,3/26/2025,235,240,
Nadu,3/26/2025,225,230,no
Kekulu (White),3/26/2025,215,210,
Kekulu (Red),3/26/2025,215,220,
Ponni Samba (Imp),3/26/2025,225,230,
Nadu,3/26/2025,213,220,no
Kekulu (White) (Imp),3/26/2025,208,,
Kelawalla,3/26/2025,1200,2100,
Thalapath,3/26/2025,1500,1960,
Balaya,3/26/2025,800,990,
Paraw,3/26/2025,1000,1180,
Salaya,3/26/2025,350,490,
Hurulla,3/26/2025,850,1120,
Linna,3/26/2025,650,820,
Beans,3/25/2025,500,740,
Carrot,3/25/2025,650,800,
Cabbage,3/25/2025,250,360,
Tomato,3/25/2025,200,360,
Brinjal,3/25/2025,300,520,
Pumpkin,3/25/2025,130,200,
Snake gourd,3/25/2025,350,400,
Green Chilli,3/25/2025,450,1300,
Lime,3/25/2025,120,400,
Red Onion (Local),3/25/2025,160,,
Red Onion (lmp),3/25/2025,267,480,
Big Onion (Local),3/25/2025,,,
Big Onion (Imp),3/25/2025,98,200,
Potato (Local),3/25/2025,277,400,
Potato (Imp),3/25/2025,145,200,
Dried Chilli (Imp),3/25/2025,600,800,
Coconut,3/25/2025,160,230,
Coconut oil,3/25/2025,767,861,
Red Dhal,3/25/2025,260,300,
Sugar,3/25/2025,218,240,
Egg,3/25/2025,25,28,
Katta (Imp),3/25/2025,1550,2500,
Sprat (Imp),3/25/2025,850,1200,
Banana (Sour),3/25/2025,100,220,
Papaw,3/25/2025,120,240,
Pineapple,3/25/2025,,460,
Apple (Imp),3/25/2025,,250,
Orange (Imp),3/25/2025,,280,
Samba,3/25/2025,235,240,
Nadu,3/25/2025,225,230,no
Kekulu (White),3/25/2025,215,210,
Kekulu (Red),3/25/2025,215,220,
Ponni Samba (Imp),3/25/2025,225,230,
Nadu,3/25/2025,213,220,no
Kekulu (White) (Imp),3/25/2025,208,,
Kelawalla,3/25/2025,1200,1960,
Thalapath,3/25/2025,1500,1960,
Balaya,3/25/2025,880,,
Paraw,3/25/2025,1000,1500,
Salaya,3/25/2025,350,500,
Hurulla,3/25/2025,850,1140,
Linna,3/25/2025,650,790,
Beans,3/21/2025,450,660,
Carrot,3/21/2025,350,600,
Cabbage,3/21/2025,150,400,
Tomato,3/21/2025,150,360,
Brinjal,3/21/2025,200,400,
Pumpkin,3/21/2025,130,200,
Snake gourd,3/21/2025,300,400,
Green Chilli,3/21/2025,600,1000,
Lime,3/21/2025,120,400,
Red Onion (Local),3/21/2025,200,,
Red Onion (lmp),3/21/2025,290,580,
Big Onion (Local),3/21/2025,,,
Big Onion (Imp),3/21/2025,103,180,
Potato (Local),3/21/2025,297,400,
Potato (Imp),3/21/2025,149,200,
Dried Chilli (Imp),3/21/2025,600,800,
Coconut,3/21/2025,150,230,
Coconut oil,3/21/2025,767,861,
Red Dhal,3/21/2025,260,300,
Sugar,3/21/2025,218,240,
Egg,3/21/2025,27,30,
Katta (Imp),3/21/2025,1550,2500,
Sprat (Imp),3/21/2025,850,1200,
Banana (Sour),3/21/2025,120,200,
Papaw,3/21/2025,150,280,
Pineapple,3/21/2025,,480,
Apple (Imp),3/21/2025,,250,
Orange (Imp),3/21/2025,,280,
Samba,3/21/2025,235,240,
Nadu,3/21/2025,225,230,no
Kekulu (White),3/21/2025,215,210,
Kekulu (Red),3/21/2025,215,220,
Ponni Samba (Imp),3/21/2025,225,230,
Nadu,3/21/2025,218,220,no
Kekulu (White) (Imp),3/21/2025,208,,
Kelawalla,3/21/2025,800,1820,
Thalapath,3/21/2025,1600,1960,
Balaya,3/21/2025,900,1180,
Paraw,3/21/2025,1000,1160,
Salaya,3/21/2025,400,540,
Hurulla,3/21/2025,,1460,
Linna,3/21/2025,700,860,
Beans,3/20/2025,400,660,
Carrot,3/20/2025,400,660,
Cabbage,3/20/2025,180,360,
Tomato,3/20/2025,200,360,
Brinjal,3/20/2025,200,400,
Pumpkin,3/20/2025,130,200,
Snake gourd,3/20/2025,300,400,
Green Chilli,3/20/2025,600,1000,
Lime,3/20/2025,120,400,
Red Onion (Local),3/20/2025,200,,
Red Onion (lmp),3/20/2025,306,580,
Big Onion (Local),3/20/2025,,,
Big Onion (Imp),3/20/2025,109,180,
Potato (Local),3/20/2025,307,400,
Potato (Imp),3/20/2025,154,200,
Dried Chilli (Imp),3/20/2025,600,800,
Coconut,3/20/2025,155,230,
Coconut oil,3/20/2025,767,833,
Red Dhal,3/20/2025,260,300,
Sugar,3/20/2025,219,240,
Egg,3/20/2025,27,30,
Katta (Imp),3/20/2025,1550,2500,
Sprat (Imp),3/20/2025,850,1200,
Banana (Sour),3/20/2025,100,200,
Papaw,3/20/2025,150,280,
Pineapple,3/20/2025,,480,
Apple (Imp),3/20/2025,,250,
Orange (Imp),3/20/2025,,280,
Samba,3/20/2025,235,240,
Nadu,3/20/2025,225,230,no
Kekulu (White),3/20/2025,215,210,
Kekulu (Red),3/20/2025,215,220,
Ponni Samba (Imp),3/20/2025,225,230,
Nadu,3/20/2025,218,220,no
Kekulu (White) (Imp),3/20/2025,208,,
Kelawalla,3/20/2025,900,1820,
Thalapath,3/20/2025,1600,1960,
Balaya,3/20/2025,950,1240,
Paraw,3/20/2025,1100,,
Salaya,3/20/2025,400,540,
Hurulla,3/20/2025,1200,1460,
Linna,3/20/2025,600,760,
Beans,3/19/2025,450,760,
Carrot,3/19/2025,500,760,
Cabbage,3/19/2025,200,400,
Tomato,3/19/2025,250,360,
Brinjal,3/19/2025,150,360,
Pumpkin,3/19/2025,130,200,
Snake gourd,3/19/2025,300,400,
Green Chilli,3/19/2025,600,1000,
Lime,3/19/2025,120,400,
Red Onion (Local),3/19/2025,175,,
Red Onion (lmp),3/19/2025,306,580,
Big Onion (Local),3/19/2025,,,
Big Onion (Imp),3/19/2025,109,180,
Potato (Local),3/19/2025,317,400,
Potato (Imp),3/19/2025,156,200,
Dried Chilli (Imp),3/19/2025,600,800,
Coconut,3/19/2025,155,230,
Coconut oil,3/19/2025,767,833,
Red Dhal,3/19/2025,260,300,
Sugar,3/19/2025,218,240,
Egg,3/19/2025,27,30,
Katta (Imp),3/19/2025,1550,2500,
Sprat (Imp),3/19/2025,850,1200,
Banana (Sour),3/19/2025,120,200,
Papaw,3/19/2025,150,280,
Pineapple,3/19/2025,,480,
Apple (Imp),3/19/2025,,250,
Orange (Imp),3/19/2025,,280,
Samba,3/19/2025,235,240,
Nadu,3/19/2025,225,230,no
Kekulu (White),3/19/2025,215,210,
Kekulu (Red),3/19/2025,215,220,
Ponni Samba (Imp),3/19/2025,225,230,
Nadu,3/19/2025,218,220,no
Kekulu (White) (Imp),3/19/2025,208,,
Kelawalla,3/19/2025,950,1820,
Thalapath,3/19/2025,1600,2100,
Balaya,3/19/2025,950,1240,
Paraw,3/19/2025,1200,1600,
Salaya,3/19/2025,380,540,
Hurulla,3/19/2025,1000,1360,
Linna,3/19/2025,550,740,
Beans,3/18/2025,600,800,
Carrot,3/18/2025,500,800,
Cabbage,3/18/2025,300,400,
Tomato,3/18/2025,300,480,
Brinjal,3/18/2025,130,360,
Pumpkin,3/18/2025,130,220,
Snake gourd,3/18/2025,300,480,
Green Chilli,3/18/2025,700,1200,
Lime,3/18/2025,150,400,
Red Onion (Local),3/18/2025,175,,
Red Onion (lmp),3/18/2025,290,580,
Big Onion (Local),3/18/2025,,,
Big Onion (Imp),3/18/2025,110,180,
Potato (Local),3/18/2025,320,400,
Potato (Imp),3/18/2025,153,200,
Dried Chilli (Imp),3/18/2025,600,800,
Coconut,3/18/2025,155,230,
Coconut oil,3/18/2025,767,833,
Red Dhal,3/18/2025,260,300,
Sugar,3/18/2025,218,240,
Egg,3/18/2025,28,30,
Katta (Imp),3/18/2025,1550,2500,
Sprat (Imp),3/18/2025,850,1200,
Banana (Sour),3/18/2025,120,200,
Papaw,3/18/2025,150,280,
Pineapple,3/18/2025,,480,
Apple (Imp),3/18/2025,,250,
Orange (Imp),3/18/2025,,280,
Samba,3/18/2025,235,240,
Nadu,3/18/2025,225,230,no
Kekulu (White),3/18/2025,215,210,
Kekulu (Red),3/18/2025,215,220,
Ponni Samba (Imp),3/18/2025,225,230,
Nadu,3/18/2025,218,220,no
Kekulu (White) (Imp),3/18/2025,208,,
Kelawalla,3/18/2025,1000,1960,
Thalapath,3/18/2025,1500,2100,
Balaya,3/18/2025,,,
Paraw,3/18/2025,1100,1600,
Salaya,3/18/2025,380,540,
Hurulla,3/18/2025,1100,1360,
Linna,3/18/2025,570,840,
Beans,3/17/2025,600,800,
Carrot,3/17/2025,500,800,
Cabbage,3/17/2025,320,400,
Tomato,3/17/2025,300,480,
Brinjal,3/17/2025,150,360,
Pumpkin,3/17/2025,130,200,
Snake gourd,3/17/2025,300,480,
Green Chilli,3/17/2025,700,1200,
Lime,3/17/2025,150,400,
Red Onion (Local),3/17/2025,175,,
Red Onion (lmp),3/17/2025,267,580,
Big Onion (Local),3/17/2025,,,
Big Onion (Imp),3/17/2025,109,180,
Potato (Local),3/17/2025,320,400,
Potato (Imp),3/17/2025,152,200,
Dried Chilli (Imp),3/17/2025,600,800,
Coconut,3/17/2025,160,230,
Coconut oil,3/17/2025,767,833,
Red Dhal,3/17/2025,260,300,
Sugar,3/17/2025,218,240,
Egg,3/17/2025,28,30,
Katta (Imp),3/17/2025,1550,2500,
Sprat (Imp),3/17/2025,850,1200,
Banana (Sour),3/17/2025,120,200,
Papaw,3/17/2025,150,280,
Pineapple,3/17/2025,,480,
Apple (Imp),3/17/2025,,250,
Orange (Imp),3/17/2025,,280,
Samba,3/17/2025,235,240,
Nadu,3/17/2025,225,230,no
Kekulu (White),3/17/2025,215,210,
Kekulu (Red),3/17/2025,215,220,
Ponni Samba (Imp),3/17/2025,225,230,
Nadu,3/17/2025,218,220,no
Kekulu (White) (Imp),3/17/2025,208,,
Kelawalla,3/17/2025,1050,1960,
Thalapath,3/17/2025,1500,2100,
Balaya,3/17/2025,,,
Paraw,3/17/2025,1100,1600,
Salaya,3/17/2025,450,560,
Hurulla,3/17/2025,1000,,
Linna,3/17/2025,680,840,
Beans,3/14/2025,350,600,
Carrot,3/14/2025,650,900,
Cabbage,3/14/2025,250,400,
Tomato,3/14/2025,200,360,
Brinjal,3/14/2025,180,360,
Pumpkin,3/14/2025,130,200,
Snake gourd,3/14/2025,250,400,
Green Chilli,3/14/2025,800,1200,
Lime,3/14/2025,150,400,
Red Onion (Local),3/14/2025,175,,
Red Onion (lmp),3/14/2025,290,580,
Big Onion (Local),3/14/2025,,,
Big Onion (Imp),3/14/2025,101,200,
Potato (Local),3/14/2025,307,400,
Potato (Imp),3/14/2025,150,200,
Dried Chilli (Imp),3/14/2025,600,850,
Coconut,3/14/2025,160,230,
Coconut oil,3/14/2025,767,833,
Red Dhal,3/14/2025,260,300,
Sugar,3/14/2025,218,240,
Egg,3/14/2025,29,30,
Katta (Imp),3/14/2025,1550,2500,
Sprat (Imp),3/14/2025,850,1200,
Banana (Sour),3/14/2025,100,220,
Papaw,3/14/2025,290,380,
Pineapple,3/14/2025,,490,
Apple (Imp),3/14/2025,,250,
Orange (Imp),3/14/2025,,280,
Samba,3/14/2025,235,240,
Nadu,3/14/2025,225,230,no
Kekulu (White),3/14/2025,215,210,
Kekulu (Red),3/14/2025,215,220,
Ponni Samba (Imp),3/14/2025,225,230,
Nadu,3/14/2025,215,220,no
Kekulu (White) (Imp),3/14/2025,208,,
Kelawalla,3/14/2025,1100,1960,
Thalapath,3/14/2025,1400,2040,
Balaya,3/14/2025,650,,
Paraw,3/14/2025,1000,1360,
Salaya,3/14/2025,360,560,
Hurulla,3/14/2025,1000,1260,
Linna,3/14/2025,750,920,
Beans,3/12/2025,350,700,
Carrot,3/12/2025,650,960,
Cabbage,3/12/2025,250,360,
Tomato,3/12/2025,150,340,
Brinjal,3/12/2025,150,320,
Pumpkin,3/12/2025,130,260,
Snake gourd,3/12/2025,250,480,
Green Chilli,3/12/2025,900,1200,
Lime,3/12/2025,120,400,
Red Onion (Local),3/12/2025,,,
Red Onion (lmp),3/12/2025,277,580,
Big Onion (Local),3/12/2025,,,
Big Onion (Imp),3/12/2025,113,200,
Potato (Local),3/12/2025,293,400,
Potato (Imp),3/12/2025,147,200,
Dried Chilli (Imp),3/12/2025,600,850,
Coconut,3/12/2025,160,230,
Coconut oil,3/12/2025,767,833,
Red Dhal,3/12/2025,260,300,
Sugar,3/12/2025,218,240,
Egg,3/12/2025,29,30,
Katta (Imp),3/12/2025,1550,2500,
Sprat (Imp),3/12/2025,850,1200,
Banana (Sour),3/12/2025,100,220,
Papaw,3/12/2025,290,380,
Pineapple,3/12/2025,,490,
Apple (Imp),3/12/2025,,250,
Orange (Imp),3/12/2025,,280,
Samba,3/12/2025,235,240,
Nadu,3/12/2025,225,230,no
Kekulu (White),3/12/2025,215,210,
Kekulu (Red),3/12/2025,215,220,
Ponni Samba (Imp),3/12/2025,225,230,
Nadu,3/12/2025,215,220,no
Kekulu (White) (Imp),3/12/2025,208,,
Kelawalla,3/12/2025,1100,1960,
Thalapath,3/12/2025,1400,2040,
Balaya,3/12/2025,900,1180,
Paraw,3/12/2025,1000,1500,
Salaya,3/12/2025,,560,
Hurulla,3/12/2025,,,
Linna,3/12/2025,700,860,
Beans,3/11/2025,450,600,
Carrot,3/11/2025,600,960,
Cabbage,3/11/2025,300,360,
Tomato,3/11/2025,170,360,
Brinjal,3/11/2025,150,320,
Pumpkin,3/11/2025,130,300,
Snake gourd,3/11/2025,250,480,
Green Chilli,3/11/2025,800,1200,
Lime,3/11/2025,120,400,
Red Onion (Local),3/11/2025,220,,
Red Onion (lmp),3/11/2025,306,580,
Big Onion (Local),3/11/2025,,,
Big Onion (Imp),3/11/2025,120,200,
Potato (Local),3/11/2025,320,400,
Potato (Imp),3/11/2025,151,200,
Dried Chilli (Imp),3/11/2025,600,850,
Coconut,3/11/2025,170,230,
Coconut oil,3/11/2025,767,833,
Red Dhal,3/11/2025,260,300,
Sugar,3/11/2025,218,240,
Egg,3/11/2025,30,30,
Katta (Imp),3/11/2025,1550,2500,
Sprat (Imp),3/11/2025,850,1200,
Banana (Sour),3/11/2025,100,220,
Papaw,3/11/2025,290,380,
Pineapple,3/11/2025,,490,
Apple (Imp),3/11/2025,,250,
Orange (Imp),3/11/2025,,280,
Samba,3/11/2025,235,240,
Nadu,3/11/2025,225,230,no
Kekulu (White),3/11/2025,215,210,
Kekulu (Red),3/11/2025,215,220,
Ponni Samba (Imp),3/11/2025,225,230,
Nadu,3/11/2025,215,220,no
Kekulu (White) (Imp),3/11/2025,208,,
Kelawalla,3/11/2025,1100,1960,
Thalapath,3/11/2025,1600,2040,
Balaya,3/11/2025,,,
Paraw,3/11/2025,1000,1500,
Salaya,3/11/2025,400,560,
Hurulla,3/11/2025,1000,,
Linna,3/11/2025,550,720,
Beans,3/10/2025,400,560,
Carrot,3/10/2025,650,1000,
Cabbage,3/10/2025,250,400,
Tomato,3/10/2025,150,320,
Brinjal,3/10/2025,150,320,
Pumpkin,3/10/2025,130,200,
Snake gourd,3/10/2025,250,360,
Green Chilli,3/10/2025,800,1600,
Lime,3/10/2025,120,400,
Red Onion (Local),3/10/2025,260,,
Red Onion (lmp),3/10/2025,313,580,
Big Onion (Local),3/10/2025,,,
Big Onion (Imp),3/10/2025,128,200,
Potato (Local),3/10/2025,303,400,
Potato (Imp),3/10/2025,149,200,
Dried Chilli (Imp),3/10/2025,600,850,
Coconut,3/10/2025,165,230,
Coconut oil,3/10/2025,767,833,
Red Dhal,3/10/2025,260,300,
Sugar,3/10/2025,218,240,
Egg,3/10/2025,30,30,
Katta (Imp),3/10/2025,1550,2500,
Sprat (Imp),3/10/2025,850,1200,
Banana (Sour),3/10/2025,120,220,
Papaw,3/10/2025,280,390,
Pineapple,3/10/2025,,490,
Apple (Imp),3/10/2025,,230,
Orange (Imp),3/10/2025,,260,
Samba,3/10/2025,235,240,
Nadu,3/10/2025,225,230,no
Kekulu (White),3/10/2025,215,210,
Kekulu (Red),3/10/2025,215,220,
Ponni Samba (Imp),3/10/2025,225,230,
Nadu,3/10/2025,215,220,no
Kekulu (White) (Imp),3/10/2025,208,,
Kelawalla,3/10/2025,1000,1820,
Thalapath,3/10/2025,1450,1960,
Balaya,3/10/2025,850,,
Paraw,3/10/2025,1000,,
Salaya,3/10/2025,350,520,
Hurulla,3/10/2025,,,
Linna,3/10/2025,600,860,
Beans,3/7/2025,300,560,
Carrot,3/7/2025,700,800,
Cabbage,3/7/2025,200,400,
Tomato,3/7/2025,150,400,
Brinjal,3/7/2025,120,360,
Pumpkin,3/7/2025,150,240,
Snake gourd,3/7/2025,200,280,
Green Chilli,3/7/2025,500,1000,
Lime,3/7/2025,100,400,
Red Onion (Local),3/7/2025,200,,
Red Onion (lmp),3/7/2025,250,560,
Big Onion (Local),3/7/2025,,,
Big Onion (Imp),3/7/2025,112,200,
Potato (Local),3/7/2025,323,420,
Potato (Imp),3/7/2025,154,200,
Dried Chilli (Imp),3/7/2025,600,850,
Coconut,3/7/2025,170,230,
Coconut oil,3/7/2025,767,833,
Red Dhal,3/7/2025,260,300,
Sugar,3/7/2025,218,240,
Egg,3/7/2025,28,30,
Katta (Imp),3/7/2025,1550,2500,
Sprat (Imp),3/7/2025,850,1200,
Banana (Sour),3/7/2025,120,220,
Papaw,3/7/2025,280,390,
Pineapple,3/7/2025,,490,
Apple (Imp),3/7/2025,,230,
Orange (Imp),3/7/2025,,260,
Samba,3/7/2025,235,240,
Nadu,3/7/2025,225,230,no
Kekulu (White),3/7/2025,215,210,
Kekulu (Red),3/7/2025,215,220,
Ponni Samba (Imp),3/7/2025,225,230,
Nadu,3/7/2025,215,220,no
Kekulu (White) (Imp),3/7/2025,208,,
Kelawalla,3/7/2025,1050,1960,
Thalapath,3/7/2025,1450,2040,
Balaya,3/7/2025,850,1120,
Paraw,3/7/2025,1000,,
Salaya,3/7/2025,360,620,
Hurulla,3/7/2025,900,1160,
Linna,3/7/2025,850,980,
Beans,3/6/2025,350,560,
Carrot,3/6/2025,700,800,
Cabbage,3/6/2025,250,480,
Tomato,3/6/2025,200,400,
Brinjal,3/6/2025,120,360,
Pumpkin,3/6/2025,130,240,
Snake gourd,3/6/2025,150,280,
Green Chilli,3/6/2025,450,1000,
Lime,3/6/2025,100,400,
Red Onion (Local),3/6/2025,195,,
Red Onion (lmp),3/6/2025,250,560,
Big Onion (Local),3/6/2025,,,
Big Onion (Imp),3/6/2025,100,200,
Potato (Local),3/6/2025,340,420,
Potato (Imp),3/6/2025,156,200,
Dried Chilli (Imp),3/6/2025,600,850,
Coconut,3/6/2025,180,230,
Coconut oil,3/6/2025,767,833,
Red Dhal,3/6/2025,260,300,
Sugar,3/6/2025,218,240,
Egg,3/6/2025,29,30,
Katta (Imp),3/6/2025,1550,2500,
Sprat (Imp),3/6/2025,850,1200,
Banana (Sour),3/6/2025,120,220,
Papaw,3/6/2025,280,390,
Pineapple,3/6/2025,,490,
Apple (Imp),3/6/2025,,230,
Orange (Imp),3/6/2025,,260,
Samba,3/6/2025,235,240,
Nadu,3/6/2025,225,230,no
Kekulu (White),3/6/2025,215,210,
Kekulu (Red),3/6/2025,215,220,
Ponni Samba (Imp),3/6/2025,225,230,
Nadu,3/6/2025,215,220,no
Kekulu (White) (Imp),3/6/2025,208,,
Kelawalla,3/6/2025,1050,1960,
Thalapath,3/6/2025,,2040,
Balaya,3/6/2025,850,1120,
Paraw,3/6/2025,1100,1800,
Salaya,3/6/2025,450,620,
Hurulla,3/6/2025,900,1060,
Linna,3/6/2025,800,980,
Beans,3/5/2025,180,380,
Carrot,3/5/2025,600,1000,
Cabbage,3/5/2025,300,480,
Tomato,3/5/2025,200,380,
Brinjal,3/5/2025,120,400,
Pumpkin,3/5/2025,130,240,
Snake gourd,3/5/2025,130,320,
Green Chilli,3/5/2025,700,1600,
Lime,3/5/2025,120,400,
Red Onion (Local),3/5/2025,190,,
Red Onion (lmp),3/5/2025,254,560,
Big Onion (Local),3/5/2025,,,
Big Onion (Imp),3/5/2025,104,200,
Potato (Local),3/5/2025,343,420,
Potato (Imp),3/5/2025,151,200,
Dried Chilli (Imp),3/5/2025,600,850,
Coconut,3/5/2025,175,230,
Coconut oil,3/5/2025,767,833,
Red Dhal,3/5/2025,260,300,
Sugar,3/5/2025,218,240,
Egg,3/5/2025,29,30,
Katta (Imp),3/5/2025,1550,2500,
Sprat (Imp),3/5/2025,850,1200,
Banana (Sour),3/5/2025,120,220,
Papaw,3/5/2025,280,390,
Pineapple,3/5/2025,,490,
Apple (Imp),3/5/2025,,230,
Orange (Imp),3/5/2025,,260,
Samba,3/5/2025,235,240,
Nadu,3/5/2025,225,230,no
Kekulu (White),3/5/2025,215,210,
Kekulu (Red),3/5/2025,215,220,
Ponni Samba (Imp),3/5/2025,225,230,
Nadu,3/5/2025,215,220,no
Kekulu (White) (Imp),3/5/2025,208,,
Kelawalla,3/5/2025,1100,1960,
Thalapath,3/5/2025,1400,1900,
Balaya,3/5/2025,900,1120,
Paraw,3/5/2025,1300,1800,
Salaya,3/5/2025,450,660,
Hurulla,3/5/2025,1100,1380,
Linna,3/5/2025,900,1060,
Beans,3/4/2025,200,360,
Carrot,3/4/2025,700,1000,
Cabbage,3/4/2025,300,480,
Tomato,3/4/2025,200,400,
Brinjal,3/4/2025,120,400,
Pumpkin,3/4/2025,130,240,
Snake gourd,3/4/2025,150,320,
Green Chilli,3/4/2025,1000,1600,
Lime,3/4/2025,100,400,
Red Onion (Local),3/4/2025,190,,
Red Onion (lmp),3/4/2025,243,560,
Big Onion (Local),3/4/2025,,,
Big Onion (Imp),3/4/2025,105,200,
Potato (Local),3/4/2025,343,420,
Potato (Imp),3/4/2025,147,200,
Dried Chilli (Imp),3/4/2025,600,850,
Coconut,3/4/2025,180,230,
Coconut oil,3/4/2025,767,833,
Red Dhal,3/4/2025,260,300,
Sugar,3/4/2025,218,240,
Egg,3/4/2025,29,30,
Katta (Imp),3/4/2025,1550,2500,
Sprat (Imp),3/4/2025,850,1200,
Banana (Sour),3/4/2025,120,220,
Papaw,3/4/2025,280,390,
Pineapple,3/4/2025,,490,
Apple (Imp),3/4/2025,,230,
Orange (Imp),3/4/2025,,260,
Samba,3/4/2025,235,240,
